zipcode,office,official,phones,emails,website
58201,Governor of North Dakota,Doug Burgum,['(701) 328-2200'],,
58201,Lieutenant Governor of North Dakota,Brent Sanford,['(701) 328-2200'],,
58201,ND Secretary of State,Al Jaeger,['(701) 328-2900'],['sos@nd.gov'],
58201,ND Insurance Commissioner,Jon Godfread,['(701) 328-2440'],['insurance@nd.gov'],
58201,ND State Superintendent of Public Instruction,Kirsten Baesler,['(701) 328-2260'],['kbaesler@nd.gov'],
58201,ND Supreme Court Justice,Lisa K. Fair McEvers,['(701) 328-2221'],['info@ndcourts.gov'],
58201,ND Agricultural Commissioner,Jerod E. Tufte,['(701) 328-2221'],['info@ndcourts.gov'],
58201,ND Attorney General,Daniel J. Crothers,['(701) 328-2221'],['info@ndcourts.gov'],
58201,ND Tax Commissioner,Gerald W. VandeWalle,['(701) 328-2221'],['info@ndcourts.gov'],
58201,ND State Treasurer,Jon J. Jensen,['(701) 328-2221'],['info@ndcourts.gov'],
58201,ND Public Service Commissioner,Doug Goehring,['(701) 328-4754'],['ndda@nd.gov'],
58201,ND State Auditor,Wayne Stenehjem,['(701) 328-2210'],,
