zipcode,office,official,phones,emails,website
68104,Governor of Nebraska,Pete Ricketts,['(402) 471-2244'],,
68104,Lieutenant Governor of Nebraska,Mike Foley,['(402) 471-2256'],['mike.foley@nebraska.gov'],
68104,NE Secretary of State,Robert B. Evnen,['(402) 471-2554'],,
68104,NE State Treasurer,John Murante,['(402) 471-2455'],,
68104,NE Attorney General,Doug Peterson,['(402) 471-2683'],['ago.info.help@nebraska.gov'],
68104,NE Supreme Court Chief Justice,Michael G. Heavican,['(402) 471-3738'],,
68104,NE Auditor of Public Accounts,Charlie Janssen,['(402) 471-2111'],['Charlie.Janssen@nebraska.gov'],
68516,Governor of Nebraska,Pete Ricketts,['(402) 471-2244'],,
68516,Lieutenant Governor of Nebraska,Mike Foley,['(402) 471-2256'],['mike.foley@nebraska.gov'],
68516,NE Secretary of State,Robert B. Evnen,['(402) 471-2554'],,
68516,NE State Treasurer,John Murante,['(402) 471-2455'],,
68516,NE Attorney General,Doug Peterson,['(402) 471-2683'],['ago.info.help@nebraska.gov'],
68516,NE Supreme Court Chief Justice,Michael G. Heavican,['(402) 471-3738'],,
68516,NE Auditor of Public Accounts,Charlie Janssen,['(402) 471-2111'],['Charlie.Janssen@nebraska.gov'],
68506,Governor of Nebraska,Pete Ricketts,['(402) 471-2244'],,
68506,Lieutenant Governor of Nebraska,Mike Foley,['(402) 471-2256'],['mike.foley@nebraska.gov'],
68506,NE Secretary of State,Robert B. Evnen,['(402) 471-2554'],,
68506,NE State Treasurer,John Murante,['(402) 471-2455'],,
68506,NE Attorney General,Doug Peterson,['(402) 471-2683'],['ago.info.help@nebraska.gov'],
68506,NE Supreme Court Chief Justice,Michael G. Heavican,['(402) 471-3738'],,
68506,NE Auditor of Public Accounts,Charlie Janssen,['(402) 471-2111'],['Charlie.Janssen@nebraska.gov'],
68506,Lincoln Mayor,Leirion Gaylor Baird,['(402) 441-7511'],['mayor@lincoln.ne.gov'],
68506,Lincoln City Council Member,Bennie Shobe,['(402) 441-7515'],['bshobe@lincoln.ne.gov'],
68601,Governor of Nebraska,Pete Ricketts,['(402) 471-2244'],,
68601,Lieutenant Governor of Nebraska,Mike Foley,['(402) 471-2256'],['mike.foley@nebraska.gov'],
68601,NE Secretary of State,Robert B. Evnen,['(402) 471-2554'],,
68601,NE State Treasurer,John Murante,['(402) 471-2455'],,
68601,NE Attorney General,Doug Peterson,['(402) 471-2683'],['ago.info.help@nebraska.gov'],
68601,NE Supreme Court Chief Justice,Michael G. Heavican,['(402) 471-3738'],,
68601,NE Auditor of Public Accounts,Charlie Janssen,['(402) 471-2111'],['Charlie.Janssen@nebraska.gov'],
