zipcode,office,official,phones,emails,website
07087,Governor of New Jersey,Phil Murphy,['(609) 292-6000'],,
07087,Lieutenant Governor of New Jersey,Sheila Oliver,['(609) 292-6000'],,
07104,Governor of New Jersey,Phil Murphy,['(609) 292-6000'],,
07104,Lieutenant Governor of New Jersey,Sheila Oliver,['(609) 292-6000'],,
07104,Newark Mayor,Ras J. Baraka,['(973) 733-6400'],,
07104,Newark City Council Member,Eddie Osborne,['(973) 733-3794'],,
07083,Governor of New Jersey,Phil Murphy,['(609) 292-6000'],,
07083,Lieutenant Governor of New Jersey,Sheila Oliver,['(609) 292-6000'],,
07728,Governor of New Jersey,Phil Murphy,['(609) 292-6000'],,
07728,Lieutenant Governor of New Jersey,Sheila Oliver,['(609) 292-6000'],,
08854,Governor of New Jersey,Phil Murphy,['(609) 292-6000'],,
08854,Lieutenant Governor of New Jersey,Sheila Oliver,['(609) 292-6000'],,
08901,Governor of New Jersey,Phil Murphy,['(609) 292-6000'],,
08901,Lieutenant Governor of New Jersey,Sheila Oliver,['(609) 292-6000'],,
08021,Governor of New Jersey,Phil Murphy,['(609) 292-6000'],,
08021,Lieutenant Governor of New Jersey,Sheila Oliver,['(609) 292-6000'],,
08816,Governor of New Jersey,Phil Murphy,['(609) 292-6000'],,
08816,Lieutenant Governor of New Jersey,Sheila Oliver,['(609) 292-6000'],,
08817,Governor of New Jersey,Phil Murphy,['(609) 292-6000'],,
08817,Lieutenant Governor of New Jersey,Sheila Oliver,['(609) 292-6000'],,
07052,Governor of New Jersey,Phil Murphy,['(609) 292-6000'],,
07052,Lieutenant Governor of New Jersey,Sheila Oliver,['(609) 292-6000'],,
08873,Governor of New Jersey,Phil Murphy,['(609) 292-6000'],,
08873,Lieutenant Governor of New Jersey,Sheila Oliver,['(609) 292-6000'],,
08401,Governor of New Jersey,Phil Murphy,['(609) 292-6000'],,
08401,Lieutenant Governor of New Jersey,Sheila Oliver,['(609) 292-6000'],,
07030,Governor of New Jersey,Phil Murphy,['(609) 292-6000'],,
07030,Lieutenant Governor of New Jersey,Sheila Oliver,['(609) 292-6000'],,
07731,Governor of New Jersey,Phil Murphy,['(609) 292-6000'],,
07731,Lieutenant Governor of New Jersey,Sheila Oliver,['(609) 292-6000'],,
08820,Governor of New Jersey,Phil Murphy,['(609) 292-6000'],,
08820,Lieutenant Governor of New Jersey,Sheila Oliver,['(609) 292-6000'],,
07501,Governor of New Jersey,Phil Murphy,['(609) 292-6000'],,
07501,Lieutenant Governor of New Jersey,Sheila Oliver,['(609) 292-6000'],,
07501,Paterson Mayor,André Sayegh,['(973) 321-1600'],['mayorsayegh@patersonnj.gov'],
07501,Paterson City Council Member,Maritza Davila,['(973) 321-1250'],['mdavila@patersonnj.gov'],
08096,Governor of New Jersey,Phil Murphy,['(609) 292-6000'],,
08096,Lieutenant Governor of New Jersey,Sheila Oliver,['(609) 292-6000'],,
07050,Governor of New Jersey,Phil Murphy,['(609) 292-6000'],,
07050,Lieutenant Governor of New Jersey,Sheila Oliver,['(609) 292-6000'],,
08094,Governor of New Jersey,Phil Murphy,['(609) 292-6000'],,
08094,Lieutenant Governor of New Jersey,Sheila Oliver,['(609) 292-6000'],,
07090,Governor of New Jersey,Phil Murphy,['(609) 292-6000'],,
07090,Lieutenant Governor of New Jersey,Sheila Oliver,['(609) 292-6000'],,
07753,Governor of New Jersey,Phil Murphy,['(609) 292-6000'],,
07753,Lieutenant Governor of New Jersey,Sheila Oliver,['(609) 292-6000'],,
07208,Governor of New Jersey,Phil Murphy,['(609) 292-6000'],,
07208,Lieutenant Governor of New Jersey,Sheila Oliver,['(609) 292-6000'],,
08016,Governor of New Jersey,Phil Murphy,['(609) 292-6000'],,
08016,Lieutenant Governor of New Jersey,Sheila Oliver,['(609) 292-6000'],,
08105,Governor of New Jersey,Phil Murphy,['(609) 292-6000'],,
08105,Lieutenant Governor of New Jersey,Sheila Oliver,['(609) 292-6000'],,
08003,Governor of New Jersey,Phil Murphy,['(609) 292-6000'],,
08003,Lieutenant Governor of New Jersey,Sheila Oliver,['(609) 292-6000'],,
07747,Governor of New Jersey,Phil Murphy,['(609) 292-6000'],,
07747,Lieutenant Governor of New Jersey,Sheila Oliver,['(609) 292-6000'],,
08865,Governor of New Jersey,Phil Murphy,['(609) 292-6000'],,
08865,Lieutenant Governor of New Jersey,Sheila Oliver,['(609) 292-6000'],,
08822,Governor of New Jersey,Phil Murphy,['(609) 292-6000'],,
08822,Lieutenant Governor of New Jersey,Sheila Oliver,['(609) 292-6000'],,
07748,Governor of New Jersey,Phil Murphy,['(609) 292-6000'],,
07748,Lieutenant Governor of New Jersey,Sheila Oliver,['(609) 292-6000'],,
07039,Governor of New Jersey,Phil Murphy,['(609) 292-6000'],,
07039,Lieutenant Governor of New Jersey,Sheila Oliver,['(609) 292-6000'],,
