zipcode,office,official,phones,emails,website
88005,Governor of New Mexico,Michelle Lujan Grisham,['(505) 476-2200'],,
88005,Lieutenant Governor of New Mexico,Howie Morales,['(505) 476-2250'],,
88005,NM Supreme Court Justice,Michael E. Vigil,['(505) 827-4860'],['nmsupremecourtclerk@nmcourts.gov'],
88005,NM Attorney General,Judith Nakamura,['(505) 827-4860'],['nmsupremecourtclerk@nmcourts.gov'],
88005,NM State Land Commissioner,David K. Thomson,['(505) 827-4860'],['nmsupremecourtclerk@nmcourts.gov'],
88005,NM State Auditor,C. Shannon Bacon,['(505) 827-4860'],['nmsupremecourtclerk@nmcourts.gov'],
88005,NM Secretary of State,Barbara J. Vigil,['(505) 827-4860'],['nmsupremecourtclerk@nmcourts.gov'],
88005,NM State Treasurer,Hector Balderas,['(844) 255-9210'],,
87120,Governor of New Mexico,Michelle Lujan Grisham,['(505) 476-2200'],,
87120,Lieutenant Governor of New Mexico,Howie Morales,['(505) 476-2250'],,
87120,NM Supreme Court Justice,Michael E. Vigil,['(505) 827-4860'],['nmsupremecourtclerk@nmcourts.gov'],
87120,NM Attorney General,Judith Nakamura,['(505) 827-4860'],['nmsupremecourtclerk@nmcourts.gov'],
87120,NM State Land Commissioner,David K. Thomson,['(505) 827-4860'],['nmsupremecourtclerk@nmcourts.gov'],
87120,NM State Auditor,C. Shannon Bacon,['(505) 827-4860'],['nmsupremecourtclerk@nmcourts.gov'],
87120,NM Secretary of State,Barbara J. Vigil,['(505) 827-4860'],['nmsupremecourtclerk@nmcourts.gov'],
87120,NM State Treasurer,Hector Balderas,['(844) 255-9210'],,
88101,Governor of New Mexico,Michelle Lujan Grisham,['(505) 476-2200'],,
88101,Lieutenant Governor of New Mexico,Howie Morales,['(505) 476-2250'],,
88101,NM Supreme Court Justice,Michael E. Vigil,['(505) 827-4860'],['nmsupremecourtclerk@nmcourts.gov'],
88101,NM Attorney General,Judith Nakamura,['(505) 827-4860'],['nmsupremecourtclerk@nmcourts.gov'],
