zipcode,office,official,phones,emails,website
89014,Governor of Nevada,Steve Sisolak,['(775) 684-5670'],,
89014,Lieutenant Governor of Nevada,Kate Marshall,['(775) 684-5670'],,
89014,NV Secretary of State,Barbara K. Cegavske,['(775) 684-5708'],['sosmail@sos.nv.gov'],
89014,NV State Controller,Catherine Byrne,['(775) 684-5624'],['cbyrne@controller.state.nv.us'],
89014,NV Attorney General,Aaron Ford,['(775) 684-1100'],['AgInfo@ag.nv.gov'],
89014,NV Supreme Court Justice,Mark Gibbons,['(775) 684-1600'],['nvscclerk@nvcourts.nv.gov'],
89014,NV State Treasurer,James W. Hardesty,['(775) 684-1600'],['nvscclerk@nvcourts.nv.gov'],
89014,Henderson Mayor,Abbi Silver,['(775) 684-1600'],['nvscclerk@nvcourts.nv.gov'],
89101,Governor of Nevada,Steve Sisolak,['(775) 684-5670'],,
89101,Lieutenant Governor of Nevada,Kate Marshall,['(775) 684-5670'],,
89101,NV Secretary of State,Barbara K. Cegavske,['(775) 684-5708'],['sosmail@sos.nv.gov'],
89101,NV State Controller,Catherine Byrne,['(775) 684-5624'],['cbyrne@controller.state.nv.us'],
89101,NV Attorney General,Aaron Ford,['(775) 684-1100'],['AgInfo@ag.nv.gov'],
89101,NV Supreme Court Justice,Mark Gibbons,['(775) 684-1600'],['nvscclerk@nvcourts.nv.gov'],
89101,NV State Treasurer,James W. Hardesty,['(775) 684-1600'],['nvscclerk@nvcourts.nv.gov'],
89101,Las Vegas Mayor,Abbi Silver,['(775) 684-1600'],['nvscclerk@nvcourts.nv.gov'],
89115,Governor of Nevada,Steve Sisolak,['(775) 684-5670'],,
89115,Lieutenant Governor of Nevada,Kate Marshall,['(775) 684-5670'],,
89115,NV Secretary of State,Barbara K. Cegavske,['(775) 684-5708'],['sosmail@sos.nv.gov'],
89115,NV State Controller,Catherine Byrne,['(775) 684-5624'],['cbyrne@controller.state.nv.us'],
89115,NV Attorney General,Aaron Ford,['(775) 684-1100'],['AgInfo@ag.nv.gov'],
89115,NV Supreme Court Justice,Mark Gibbons,['(775) 684-1600'],['nvscclerk@nvcourts.nv.gov'],
89115,NV State Treasurer,James W. Hardesty,['(775) 684-1600'],['nvscclerk@nvcourts.nv.gov'],
89117,Governor of Nevada,Steve Sisolak,['(775) 684-5670'],,
89117,Lieutenant Governor of Nevada,Kate Marshall,['(775) 684-5670'],,
89117,NV Secretary of State,Barbara K. Cegavske,['(775) 684-5708'],['sosmail@sos.nv.gov'],
89117,NV State Controller,Catherine Byrne,['(775) 684-5624'],['cbyrne@controller.state.nv.us'],
