zipcode,office,official,phones,emails,website
11226,Governor of New York,Andrew M. Cuomo,['(518) 474-8390'],,
11226,Lieutenant Governor of New York,Kathleen C. Hochul,['(518) 474-8390'],,
11226,NY Attorney General,Letitia James,['(800) 771-7755'],,
11226,NY State Comptroller,Thomas P. DiNapoli,['(518) 474-4044'],['contactus@osc.state.ny.us'],
11226,New York Mayor,Bill de Blasio,['(212) 639-9675'],,
11226,New York City Comptroller,Scott M. Stringer,['(212) 669-3916'],['action@comptroller.nyc.gov'],
11226,New York Public Advocate,Jumaane D. Williams,['(212) 669-7200'],['reception@advocate.nyc.gov'],
11373,Governor of New York,Andrew M. Cuomo,['(518) 474-8390'],,
11373,Lieutenant Governor of New York,Kathleen C. Hochul,['(518) 474-8390'],,
11373,NY Attorney General,Letitia James,['(800) 771-7755'],,
11373,NY State Comptroller,Thomas P. DiNapoli,['(518) 474-4044'],['contactus@osc.state.ny.us'],
11373,New York Mayor,Bill de Blasio,['(212) 639-9675'],,
11373,New York City Comptroller,Scott M. Stringer,['(212) 669-3916'],['action@comptroller.nyc.gov'],
11373,New York Public Advocate,Jumaane D. Williams,['(212) 669-7200'],['reception@advocate.nyc.gov'],
10021,Governor of New York,Andrew M. Cuomo,['(518) 474-8390'],,
10021,Lieutenant Governor of New York,Kathleen C. Hochul,['(518) 474-8390'],,
10021,NY Attorney General,Letitia James,['(800) 771-7755'],,
10021,NY State Comptroller,Thomas P. DiNapoli,['(518) 474-4044'],['contactus@osc.state.ny.us'],
10021,New York Mayor,Bill de Blasio,['(212) 639-9675'],,
10021,New York City Comptroller,Scott M. Stringer,['(212) 669-3916'],['action@comptroller.nyc.gov'],
10021,New York Public Advocate,Jumaane D. Williams,['(212) 669-7200'],['reception@advocate.nyc.gov'],
11368,Governor of New York,Andrew M. Cuomo,['(518) 474-8390'],,
11368,Lieutenant Governor of New York,Kathleen C. Hochul,['(518) 474-8390'],,
11368,NY Attorney General,Letitia James,['(800) 771-7755'],,
11368,NY State Comptroller,Thomas P. DiNapoli,['(518) 474-4044'],['contactus@osc.state.ny.us'],
11368,New York Mayor,Bill de Blasio,['(212) 639-9675'],,
11368,New York City Comptroller,Scott M. Stringer,['(212) 669-3916'],['action@comptroller.nyc.gov'],
11368,New York Public Advocate,Jumaane D. Williams,['(212) 669-7200'],['reception@advocate.nyc.gov'],
11385,Governor of New York,Andrew M. Cuomo,['(518) 474-8390'],,
11385,Lieutenant Governor of New York,Kathleen C. Hochul,['(518) 474-8390'],,
11385,NY Attorney General,Letitia James,['(800) 771-7755'],,
11385,NY State Comptroller,Thomas P. DiNapoli,['(518) 474-4044'],['contactus@osc.state.ny.us'],
11385,New York Mayor,Bill de Blasio,['(212) 639-9675'],,
11385,New York City Comptroller,Scott M. Stringer,['(212) 669-3916'],['action@comptroller.nyc.gov'],
11385,New York Public Advocate,Jumaane D. Williams,['(212) 669-7200'],['reception@advocate.nyc.gov'],
10025,Governor of New York,Andrew M. Cuomo,['(518) 474-8390'],,
10025,Lieutenant Governor of New York,Kathleen C. Hochul,['(518) 474-8390'],,
10025,NY Attorney General,Letitia James,['(800) 771-7755'],,
10025,NY State Comptroller,Thomas P. DiNapoli,['(518) 474-4044'],['contactus@osc.state.ny.us'],
10025,New York Mayor,Bill de Blasio,['(212) 639-9675'],,
10025,New York City Comptroller,Scott M. Stringer,['(212) 669-3916'],['action@comptroller.nyc.gov'],
10025,New York Public Advocate,Jumaane D. Williams,['(212) 669-7200'],['reception@advocate.nyc.gov'],
11236,Governor of New York,Andrew M. Cuomo,['(518) 474-8390'],,
11236,Lieutenant Governor of New York,Kathleen C. Hochul,['(518) 474-8390'],,
11236,NY Attorney General,Letitia James,['(800) 771-7755'],,
11236,NY State Comptroller,Thomas P. DiNapoli,['(518) 474-4044'],['contactus@osc.state.ny.us'],
11236,New York Mayor,Bill de Blasio,['(212) 639-9675'],,
11236,New York City Comptroller,Scott M. Stringer,['(212) 669-3916'],['action@comptroller.nyc.gov'],
11236,New York Public Advocate,Jumaane D. Williams,['(212) 669-7200'],['reception@advocate.nyc.gov'],
10467,Governor of New York,Andrew M. Cuomo,['(518) 474-8390'],,
10467,Lieutenant Governor of New York,Kathleen C. Hochul,['(518) 474-8390'],,
10467,NY Attorney General,Letitia James,['(800) 771-7755'],,
10467,NY State Comptroller,Thomas P. DiNapoli,['(518) 474-4044'],['contactus@osc.state.ny.us'],
10467,New York Mayor,Bill de Blasio,['(212) 639-9675'],,
10467,New York City Comptroller,Scott M. Stringer,['(212) 669-3916'],['action@comptroller.nyc.gov'],
10467,New York Public Advocate,Jumaane D. Williams,['(212) 669-7200'],['reception@advocate.nyc.gov'],
11220,Governor of New York,Andrew M. Cuomo,['(518) 474-8390'],,
11220,Lieutenant Governor of New York,Kathleen C. Hochul,['(518) 474-8390'],,
11220,NY Attorney General,Letitia James,['(800) 771-7755'],,
11220,NY State Comptroller,Thomas P. DiNapoli,['(518) 474-4044'],['contactus@osc.state.ny.us'],
11220,New York Mayor,Bill de Blasio,['(212) 639-9675'],,
11220,New York City Comptroller,Scott M. Stringer,['(212) 669-3916'],['action@comptroller.nyc.gov'],
11220,New York Public Advocate,Jumaane D. Williams,['(212) 669-7200'],['reception@advocate.nyc.gov'],
11230,Governor of New York,Andrew M. Cuomo,['(518) 474-8390'],,
11230,Lieutenant Governor of New York,Kathleen C. Hochul,['(518) 474-8390'],,
11230,NY Attorney General,Letitia James,['(800) 771-7755'],,
11230,NY State Comptroller,Thomas P. DiNapoli,['(518) 474-4044'],['contactus@osc.state.ny.us'],
11230,New York Mayor,Bill de Blasio,['(212) 639-9675'],,
11230,New York City Comptroller,Scott M. Stringer,['(212) 669-3916'],['action@comptroller.nyc.gov'],
11230,New York Public Advocate,Jumaane D. Williams,['(212) 669-7200'],['reception@advocate.nyc.gov'],
11377,Governor of New York,Andrew M. Cuomo,['(518) 474-8390'],,
11377,Lieutenant Governor of New York,Kathleen C. Hochul,['(518) 474-8390'],,
11377,NY Attorney General,Letitia James,['(800) 771-7755'],,
11377,NY State Comptroller,Thomas P. DiNapoli,['(518) 474-4044'],['contactus@osc.state.ny.us'],
11377,New York Mayor,Bill de Blasio,['(212) 639-9675'],,
11377,New York City Comptroller,Scott M. Stringer,['(212) 669-3916'],['action@comptroller.nyc.gov'],
