zipcode,office,official,phones,emails,website
44102,Governor of Ohio,Mike DeWine,['(614) 644-4357'],,
44102,Lieutenant Governor of Ohio,Jon Husted,['(614) 644-4357'],,
44102,OH Supreme Court Chief Justice,Maureen O'Connor,['(614) 387-9000'],,
44102,OH Attorney General,Dave Yost,['(800) 282-0515'],,
44102,OH Secretary of State,Frank LaRose,['(614) 466-2655'],,
44102,OH State Auditor,Keith Faber,['(800) 282-0370'],,
44102,OH State Treasurer,Robert Sprague,['(800) 228-1102'],['constituentaffairs@tos.ohio.gov'],
44102,OH State Board of Education Member,Mark Lamoncha,['(614) 728-2754'],['Mark.Lamoncha@education.ohio.gov'],
44102,OH Supreme Court Associate Justice,Reginald Wilkinson,['(614) 728-2754'],['Reginald.Wilkinson@education.ohio.gov'],
44102,Cleveland Mayor,Martha Manchester,['(614) 728-2754'],['Martha.Manchester@education.ohio.gov'],
45840,Governor of Ohio,Mike DeWine,['(614) 644-4357'],,
45840,Lieutenant Governor of Ohio,Jon Husted,['(614) 644-4357'],,
45840,OH Supreme Court Chief Justice,Maureen O'Connor,['(614) 387-9000'],,
45840,OH Attorney General,Dave Yost,['(800) 282-0515'],,
45840,OH Secretary of State,Frank LaRose,['(614) 466-2655'],,
45840,OH State Auditor,Keith Faber,['(800) 282-0370'],,
45840,OH State Treasurer,Robert Sprague,['(800) 228-1102'],['constituentaffairs@tos.ohio.gov'],
45840,OH State Board of Education Member,Mark Lamoncha,['(614) 728-2754'],['Mark.Lamoncha@education.ohio.gov'],
45840,OH Supreme Court Associate Justice,Reginald Wilkinson,['(614) 728-2754'],['Reginald.Wilkinson@education.ohio.gov'],
44256,Governor of Ohio,Mike DeWine,['(614) 644-4357'],,
44256,Lieutenant Governor of Ohio,Jon Husted,['(614) 644-4357'],,
44256,OH Supreme Court Chief Justice,Maureen O'Connor,['(614) 387-9000'],,
44256,OH Attorney General,Dave Yost,['(800) 282-0515'],,
44256,OH Secretary of State,Frank LaRose,['(614) 466-2655'],,
44256,OH State Auditor,Keith Faber,['(800) 282-0370'],,
44256,OH State Treasurer,Robert Sprague,['(800) 228-1102'],['constituentaffairs@tos.ohio.gov'],
44256,OH State Board of Education Member,Mark Lamoncha,['(614) 728-2754'],['Mark.Lamoncha@education.ohio.gov'],
44256,OH Supreme Court Associate Justice,Reginald Wilkinson,['(614) 728-2754'],['Reginald.Wilkinson@education.ohio.gov'],
43081,Governor of Ohio,Mike DeWine,['(614) 644-4357'],,
43081,Lieutenant Governor of Ohio,Jon Husted,['(614) 644-4357'],,
