zipcode,office,official,phones,emails,website
73099,Governor of Oklahoma,Kevin Stitt,['(405) 521-2342'],,
73099,Lieutenant Governor of Oklahoma,Matt Pinnell,['(405) 521-2161'],,
73099,OK Commissioner of Labor,Leslie Osborn,['(405) 521-6100'],['labor.info@labor.ok.gov'],
73099,OK State Auditor and Inspector,Cindy Byrd,['(405) 521-3495'],['auditor@sai.ok.gov'],
73099,OK State Treasurer,Randy McDaniel,['(405) 521-3191'],,
73099,OK Attorney General,Mike Hunter,['(405) 521-3921'],,
73099,OK Corporation Commissioner,Todd Hiett,['(405) 521-2211'],['ContactToddHiett@occ.ok.gov'],
73099,OK Superintendent of Public Instruction,Bob Anthony,['(405) 521-2211'],['Bob.Anthony@occ.ok.gov'],
73099,OK Commissioner of Insurance,Dana Murphy,['(405) 521-2211'],['ContactDanaMurphy@occ.ok.gov'],
73160,Governor of Oklahoma,Kevin Stitt,['(405) 521-2342'],,
73160,Lieutenant Governor of Oklahoma,Matt Pinnell,['(405) 521-2161'],,
73160,OK Commissioner of Labor,Leslie Osborn,['(405) 521-6100'],['labor.info@labor.ok.gov'],
73160,OK State Auditor and Inspector,Cindy Byrd,['(405) 521-3495'],['auditor@sai.ok.gov'],
73160,OK State Treasurer,Randy McDaniel,['(405) 521-3191'],,
73160,OK Attorney General,Mike Hunter,['(405) 521-3921'],,
73160,OK Corporation Commissioner,Todd Hiett,['(405) 521-2211'],['ContactToddHiett@occ.ok.gov'],
73160,OK Superintendent of Public Instruction,Bob Anthony,['(405) 521-2211'],['Bob.Anthony@occ.ok.gov'],
73160,OK Commissioner of Insurance,Dana Murphy,['(405) 521-2211'],['ContactDanaMurphy@occ.ok.gov'],
73072,Governor of Oklahoma,Kevin Stitt,['(405) 521-2342'],,
73072,Lieutenant Governor of Oklahoma,Matt Pinnell,['(405) 521-2161'],,
73072,OK Commissioner of Labor,Leslie Osborn,['(405) 521-6100'],['labor.info@labor.ok.gov'],
73072,OK State Auditor and Inspector,Cindy Byrd,['(405) 521-3495'],['auditor@sai.ok.gov'],
73072,OK State Treasurer,Randy McDaniel,['(405) 521-3191'],,
73072,OK Attorney General,Mike Hunter,['(405) 521-3921'],,
73072,OK Corporation Commissioner,Todd Hiett,['(405) 521-2211'],['ContactToddHiett@occ.ok.gov'],
73072,OK Superintendent of Public Instruction,Bob Anthony,['(405) 521-2211'],['Bob.Anthony@occ.ok.gov'],
73072,OK Commissioner of Insurance,Dana Murphy,['(405) 521-2211'],['ContactDanaMurphy@occ.ok.gov'],
74133,Governor of Oklahoma,Kevin Stitt,['(405) 521-2342'],,
74133,Lieutenant Governor of Oklahoma,Matt Pinnell,['(405) 521-2161'],,
74133,OK Commissioner of Labor,Leslie Osborn,['(405) 521-6100'],['labor.info@labor.ok.gov'],
74133,OK State Auditor and Inspector,Cindy Byrd,['(405) 521-3495'],['auditor@sai.ok.gov'],
