zipcode,office,official,phones,emails,website
97006,Governor of Oregon,Kate Brown,['(503) 378-3111'],,
97006,OR Supreme Court Justice,Martha L. Walters,['(503) 986-5668'],,
97006,OR Secretary of State,Rebecca A. Duncan,['(503) 986-5670'],,
97006,OR Commissioner of Labor and Industries,Thomas A. Balmer,['(503) 986-5717'],,
97006,OR Attorney General,Christopher L. Garrett,['(503) 986-5672'],,
97006,OR State Treasurer,Meagan A. Flynn,['(503) 986-5676'],,
97206,Governor of Oregon,Kate Brown,['(503) 378-3111'],,
97206,OR Supreme Court Justice,Martha L. Walters,['(503) 986-5668'],,
97206,OR Secretary of State,Rebecca A. Duncan,['(503) 986-5670'],,
97206,OR Commissioner of Labor and Industries,Thomas A. Balmer,['(503) 986-5717'],,
97206,OR Attorney General,Christopher L. Garrett,['(503) 986-5672'],,
97206,OR State Treasurer,Meagan A. Flynn,['(503) 986-5676'],,
97402,Governor of Oregon,Kate Brown,['(503) 378-3111'],,
97402,OR Supreme Court Justice,Martha L. Walters,['(503) 986-5668'],,
97402,OR Secretary of State,Rebecca A. Duncan,['(503) 986-5670'],,
97402,OR Commissioner of Labor and Industries,Thomas A. Balmer,['(503) 986-5717'],,
97402,OR Attorney General,Christopher L. Garrett,['(503) 986-5672'],,
97402,OR State Treasurer,Meagan A. Flynn,['(503) 986-5676'],,
97223,Governor of Oregon,Kate Brown,['(503) 378-3111'],,
97223,OR Supreme Court Justice,Martha L. Walters,['(503) 986-5668'],,
97223,OR Secretary of State,Rebecca A. Duncan,['(503) 986-5670'],,
97223,OR Commissioner of Labor and Industries,Thomas A. Balmer,['(503) 986-5717'],,
97223,OR Attorney General,Christopher L. Garrett,['(503) 986-5672'],,
97223,OR State Treasurer,Meagan A. Flynn,['(503) 986-5676'],,
97504,Governor of Oregon,Kate Brown,['(503) 378-3111'],,
97504,OR Supreme Court Justice,Martha L. Walters,['(503) 986-5668'],,
97504,OR Secretary of State,Rebecca A. Duncan,['(503) 986-5670'],,
97504,OR Commissioner of Labor and Industries,Thomas A. Balmer,['(503) 986-5717'],,
97504,OR Attorney General,Christopher L. Garrett,['(503) 986-5672'],,
97504,OR State Treasurer,Meagan A. Flynn,['(503) 986-5676'],,
97124,Governor of Oregon,Kate Brown,['(503) 378-3111'],,
97124,OR Supreme Court Justice,Martha L. Walters,['(503) 986-5668'],,
97124,OR Secretary of State,Rebecca A. Duncan,['(503) 986-5670'],,
97124,OR Commissioner of Labor and Industries,Thomas A. Balmer,['(503) 986-5717'],,
97124,OR Attorney General,Christopher L. Garrett,['(503) 986-5672'],,
97124,OR State Treasurer,Meagan A. Flynn,['(503) 986-5676'],,
97266,Governor of Oregon,Kate Brown,['(503) 378-3111'],,
97266,OR Supreme Court Justice,Martha L. Walters,['(503) 986-5668'],,
97266,OR Secretary of State,Rebecca A. Duncan,['(503) 986-5670'],,
97266,OR Commissioner of Labor and Industries,Thomas A. Balmer,['(503) 986-5717'],,
97266,OR Attorney General,Christopher L. Garrett,['(503) 986-5672'],,
97266,OR State Treasurer,Meagan A. Flynn,['(503) 986-5676'],,
97230,Governor of Oregon,Kate Brown,['(503) 378-3111'],,
97230,OR Supreme Court Justice,Martha L. Walters,['(503) 986-5668'],,
97230,OR Secretary of State,Rebecca A. Duncan,['(503) 986-5670'],,
97230,OR Commissioner of Labor and Industries,Thomas A. Balmer,['(503) 986-5717'],,
97230,OR Attorney General,Christopher L. Garrett,['(503) 986-5672'],,
97230,OR State Treasurer,Meagan A. Flynn,['(503) 986-5676'],,
97222,Governor of Oregon,Kate Brown,['(503) 378-3111'],,
97222,OR Supreme Court Justice,Martha L. Walters,['(503) 986-5668'],,
97222,OR Secretary of State,Rebecca A. Duncan,['(503) 986-5670'],,
97222,OR Commissioner of Labor and Industries,Thomas A. Balmer,['(503) 986-5717'],,
97222,OR Attorney General,Christopher L. Garrett,['(503) 986-5672'],,
97222,OR State Treasurer,Meagan A. Flynn,['(503) 986-5676'],,
97080,Governor of Oregon,Kate Brown,['(503) 378-3111'],,
97080,OR Supreme Court Justice,Martha L. Walters,['(503) 986-5668'],,
97080,OR Secretary of State,Rebecca A. Duncan,['(503) 986-5670'],,
97080,OR Commissioner of Labor and Industries,Thomas A. Balmer,['(503) 986-5717'],,
97080,OR Attorney General,Christopher L. Garrett,['(503) 986-5672'],,
97080,OR State Treasurer,Meagan A. Flynn,['(503) 986-5676'],,
97305,Governor of Oregon,Kate Brown,['(503) 378-3111'],,
97305,OR Supreme Court Justice,Martha L. Walters,['(503) 986-5668'],,
97305,OR Secretary of State,Rebecca A. Duncan,['(503) 986-5670'],,
97305,OR Commissioner of Labor and Industries,Thomas A. Balmer,['(503) 986-5717'],,
97305,OR Attorney General,Christopher L. Garrett,['(503) 986-5672'],,
97305,OR State Treasurer,Meagan A. Flynn,['(503) 986-5676'],,
97236,Governor of Oregon,Kate Brown,['(503) 378-3111'],,
97236,OR Supreme Court Justice,Martha L. Walters,['(503) 986-5668'],,
97236,OR Secretary of State,Rebecca A. Duncan,['(503) 986-5670'],,
97236,OR Commissioner of Labor and Industries,Thomas A. Balmer,['(503) 986-5717'],,
97236,OR Attorney General,Christopher L. Garrett,['(503) 986-5672'],,
97236,OR State Treasurer,Meagan A. Flynn,['(503) 986-5676'],,
97526,Governor of Oregon,Kate Brown,['(503) 378-3111'],,
97526,OR Supreme Court Justice,Martha L. Walters,['(503) 986-5668'],,
97526,OR Secretary of State,Rebecca A. Duncan,['(503) 986-5670'],,
97526,OR Commissioner of Labor and Industries,Thomas A. Balmer,['(503) 986-5717'],,
97526,OR Attorney General,Christopher L. Garrett,['(503) 986-5672'],,
97526,OR State Treasurer,Meagan A. Flynn,['(503) 986-5676'],,
97267,Governor of Oregon,Kate Brown,['(503) 378-3111'],,
97267,OR Supreme Court Justice,Martha L. Walters,['(503) 986-5668'],,
97267,OR Secretary of State,Rebecca A. Duncan,['(503) 986-5670'],,
97267,OR Commissioner of Labor and Industries,Thomas A. Balmer,['(503) 986-5717'],,
97267,OR Attorney General,Christopher L. Garrett,['(503) 986-5672'],,
97267,OR State Treasurer,Meagan A. Flynn,['(503) 986-5676'],,
97702,Governor of Oregon,Kate Brown,['(503) 378-3111'],,
97702,OR Supreme Court Justice,Martha L. Walters,['(503) 986-5668'],,
97702,OR Secretary of State,Rebecca A. Duncan,['(503) 986-5670'],,
97702,OR Commissioner of Labor and Industries,Thomas A. Balmer,['(503) 986-5717'],,
97702,OR Attorney General,Christopher L. Garrett,['(503) 986-5672'],,
97702,OR State Treasurer,Meagan A. Flynn,['(503) 986-5676'],,
97008,Governor of Oregon,Kate Brown,['(503) 378-3111'],,
97008,OR Supreme Court Justice,Martha L. Walters,['(503) 986-5668'],,
97008,OR Secretary of State,Rebecca A. Duncan,['(503) 986-5670'],,
97008,OR Commissioner of Labor and Industries,Thomas A. Balmer,['(503) 986-5717'],,
97008,OR Attorney General,Christopher L. Garrett,['(503) 986-5672'],,
97008,OR State Treasurer,Meagan A. Flynn,['(503) 986-5676'],,
