zipcode,office,official,phones,emails,website
17013,Governor of Pennsylvania,Tom Wolf,['(717) 787-2500'],['Governor@pa.gov'],
17013,Lieutenant Governor of Pennsylvania,John Fetterman,['(717) 787-3300'],['LGoffice@pa.gov'],
17013,PA Supreme Court Chief Justice,Thomas G. Saylor,['(717) 787-6181'],,
17013,PA State Treasurer,Joe Torsella,['(717) 787-2465'],,
17013,PA Supreme Court Associate Justice,David N. Wecht,['(717) 787-6181'],,
17013,PA Attorney General,Debra Todd,['(717) 787-6181'],,
17013,PA Auditor General,Sallie Updyke Mundy,['(717) 787-6181'],,
19446,Governor of Pennsylvania,Tom Wolf,['(717) 787-2500'],['Governor@pa.gov'],
19446,Lieutenant Governor of Pennsylvania,John Fetterman,['(717) 787-3300'],['LGoffice@pa.gov'],
19446,PA Supreme Court Chief Justice,Thomas G. Saylor,['(717) 787-6181'],,
19446,PA State Treasurer,Joe Torsella,['(717) 787-2465'],,
19446,PA Supreme Court Associate Justice,David N. Wecht,['(717) 787-6181'],,
19446,PA Attorney General,Debra Todd,['(717) 787-6181'],,
19446,PA Auditor General,Sallie Updyke Mundy,['(717) 787-6181'],,
19382,Governor of Pennsylvania,Tom Wolf,['(717) 787-2500'],['Governor@pa.gov'],
19382,Lieutenant Governor of Pennsylvania,John Fetterman,['(717) 787-3300'],['LGoffice@pa.gov'],
19382,PA Supreme Court Chief Justice,Thomas G. Saylor,['(717) 787-6181'],,
19382,PA State Treasurer,Joe Torsella,['(717) 787-2465'],,
19382,PA Supreme Court Associate Justice,David N. Wecht,['(717) 787-6181'],,
19382,PA Attorney General,Debra Todd,['(717) 787-6181'],,
19382,PA Auditor General,Sallie Updyke Mundy,['(717) 787-6181'],,
18702,Governor of Pennsylvania,Tom Wolf,['(717) 787-2500'],['Governor@pa.gov'],
18702,Lieutenant Governor of Pennsylvania,John Fetterman,['(717) 787-3300'],['LGoffice@pa.gov'],
18702,PA Supreme Court Chief Justice,Thomas G. Saylor,['(717) 787-6181'],,
18702,PA State Treasurer,Joe Torsella,['(717) 787-2465'],,
18702,PA Supreme Court Associate Justice,David N. Wecht,['(717) 787-6181'],,
18702,PA Attorney General,Debra Todd,['(717) 787-6181'],,
18702,PA Auditor General,Sallie Updyke Mundy,['(717) 787-6181'],,
19104,Governor of Pennsylvania,Tom Wolf,['(717) 787-2500'],['Governor@pa.gov'],
19104,Lieutenant Governor of Pennsylvania,John Fetterman,['(717) 787-3300'],['LGoffice@pa.gov'],
19104,PA Supreme Court Chief Justice,Thomas G. Saylor,['(717) 787-6181'],,
19104,PA State Treasurer,Joe Torsella,['(717) 787-2465'],,
19104,PA Supreme Court Associate Justice,David N. Wecht,['(717) 787-6181'],,
19104,PA Attorney General,Debra Todd,['(717) 787-6181'],,
19104,PA Auditor General,Sallie Updyke Mundy,['(717) 787-6181'],,
19104,Philadelphia Mayor,Kevin M. Dougherty,['(717) 787-6181'],,
19104,Philadelphia City Commissioner,Max Baer,['(717) 787-6181'],,
19104,Philadelphia Register of Wills,Christine Donohue,['(717) 787-6181'],,
19104,Philadelphia District Attorney,Josh Shapiro,['(717) 787-3391'],['info@attorneygeneral.gov'],
