zipcode,office,official,phones,emails,website
02909,Governor of Rhode Island,Gina M. Raimondo,['(401) 222-2080'],['governor@governor.ri.gov'],
02909,Lieutenant Governor of Rhode Island,Daniel J. McKee,['(401) 222-2371'],['info@ltgov.state.ri.us'],
02909,RI General Treasurer,Seth Magaziner,['(401) 222-2397'],['generaltreasurer@treasury.ri.gov'],
02909,RI Secretary of State,Nellie M. Gorbea,['(401) 222-2357'],['secretarygorbea@sos.ri.gov'],
02909,RI Attorney General,Peter F. Neronha,['(401) 274-4400'],,
02909,Providence Mayor,Jorge O. Elorza,['(401) 421-2489'],,
02908,Governor of Rhode Island,Gina M. Raimondo,['(401) 222-2080'],['governor@governor.ri.gov'],
02908,Lieutenant Governor of Rhode Island,Daniel J. McKee,['(401) 222-2371'],['info@ltgov.state.ri.us'],
02908,RI General Treasurer,Seth Magaziner,['(401) 222-2397'],['generaltreasurer@treasury.ri.gov'],
02908,RI Secretary of State,Nellie M. Gorbea,['(401) 222-2357'],['secretarygorbea@sos.ri.gov'],
02908,RI Attorney General,Peter F. Neronha,['(401) 274-4400'],,
02907,Governor of Rhode Island,Gina M. Raimondo,['(401) 222-2080'],['governor@governor.ri.gov'],
02907,Lieutenant Governor of Rhode Island,Daniel J. McKee,['(401) 222-2371'],['info@ltgov.state.ri.us'],
02907,RI General Treasurer,Seth Magaziner,['(401) 222-2397'],['generaltreasurer@treasury.ri.gov'],
02907,RI Secretary of State,Nellie M. Gorbea,['(401) 222-2357'],['secretarygorbea@sos.ri.gov'],
02907,RI Attorney General,Peter F. Neronha,['(401) 274-4400'],,
