zipcode,office,official,phones,emails,website
29501,Governor of South Carolina,Henry McMaster,['(803) 734-2100'],,
29501,Lieutenant Governor of South Carolina,Pamela Evette,['(803) 734-2100'],,
29501,SC Attorney General,Alan Wilson,['(803) 734-3970'],,
29501,SC Superintendent of Education,Molly Spearman,['(803) 734-8500'],['info@ed.sc.gov'],
29501,SC Commissioner of Agriculture,Hugh E. Weathers,['(803) 734-2190'],['hweathe@scda.sc.gov'],
29501,SC Secretary of State,Mark Hammond,['(803) 734-2170'],,
29501,SC State Comptroller,Richard Eckstrom,['(803) 734-2121'],['cgoffice@cg.sc.gov'],
29501,SC State Treasurer,"Curtis M. Loftis, Jr.",['(803) 734-2101'],['treasurer@sto.sc.gov'],
29150,Governor of South Carolina,Henry McMaster,['(803) 734-2100'],,
29150,Lieutenant Governor of South Carolina,Pamela Evette,['(803) 734-2100'],,
29150,SC Attorney General,Alan Wilson,['(803) 734-3970'],,
29150,SC Superintendent of Education,Molly Spearman,['(803) 734-8500'],['info@ed.sc.gov'],
29150,SC Commissioner of Agriculture,Hugh E. Weathers,['(803) 734-2190'],['hweathe@scda.sc.gov'],
29150,SC Secretary of State,Mark Hammond,['(803) 734-2170'],,
29150,SC State Comptroller,Richard Eckstrom,['(803) 734-2121'],['cgoffice@cg.sc.gov'],
29150,SC State Treasurer,"Curtis M. Loftis, Jr.",['(803) 734-2101'],['treasurer@sto.sc.gov'],
29072,Governor of South Carolina,Henry McMaster,['(803) 734-2100'],,
29072,Lieutenant Governor of South Carolina,Pamela Evette,['(803) 734-2100'],,
29072,SC Attorney General,Alan Wilson,['(803) 734-3970'],,
29072,SC Superintendent of Education,Molly Spearman,['(803) 734-8500'],['info@ed.sc.gov'],
29072,SC Commissioner of Agriculture,Hugh E. Weathers,['(803) 734-2190'],['hweathe@scda.sc.gov'],
29072,SC Secretary of State,Mark Hammond,['(803) 734-2170'],,
29072,SC State Comptroller,Richard Eckstrom,['(803) 734-2121'],['cgoffice@cg.sc.gov'],
29072,SC State Treasurer,"Curtis M. Loftis, Jr.",['(803) 734-2101'],['treasurer@sto.sc.gov'],
29605,Governor of South Carolina,Henry McMaster,['(803) 734-2100'],,
29605,Lieutenant Governor of South Carolina,Pamela Evette,['(803) 734-2100'],,
29605,SC Attorney General,Alan Wilson,['(803) 734-3970'],,
29605,SC Superintendent of Education,Molly Spearman,['(803) 734-8500'],['info@ed.sc.gov'],
29605,SC Commissioner of Agriculture,Hugh E. Weathers,['(803) 734-2190'],['hweathe@scda.sc.gov'],
29605,SC Secretary of State,Mark Hammond,['(803) 734-2170'],,
29605,SC State Comptroller,Richard Eckstrom,['(803) 734-2121'],['cgoffice@cg.sc.gov'],
29605,SC State Treasurer,"Curtis M. Loftis, Jr.",['(803) 734-2101'],['treasurer@sto.sc.gov'],
29526,Governor of South Carolina,Henry McMaster,['(803) 734-2100'],,
29526,Lieutenant Governor of South Carolina,Pamela Evette,['(803) 734-2100'],,
29526,SC Attorney General,Alan Wilson,['(803) 734-3970'],,
29526,SC Superintendent of Education,Molly Spearman,['(803) 734-8500'],['info@ed.sc.gov'],
29526,SC Commissioner of Agriculture,Hugh E. Weathers,['(803) 734-2190'],['hweathe@scda.sc.gov'],
29526,SC Secretary of State,Mark Hammond,['(803) 734-2170'],,
29526,SC State Comptroller,Richard Eckstrom,['(803) 734-2121'],['cgoffice@cg.sc.gov'],
29526,SC State Treasurer,"Curtis M. Loftis, Jr.",['(803) 734-2101'],['treasurer@sto.sc.gov'],
29440,Governor of South Carolina,Henry McMaster,['(803) 734-2100'],,
29440,Lieutenant Governor of South Carolina,Pamela Evette,['(803) 734-2100'],,
29440,SC Attorney General,Alan Wilson,['(803) 734-3970'],,
29440,SC Superintendent of Education,Molly Spearman,['(803) 734-8500'],['info@ed.sc.gov'],
29440,SC Commissioner of Agriculture,Hugh E. Weathers,['(803) 734-2190'],['hweathe@scda.sc.gov'],
29440,SC Secretary of State,Mark Hammond,['(803) 734-2170'],,
29440,SC State Comptroller,Richard Eckstrom,['(803) 734-2121'],['cgoffice@cg.sc.gov'],
29440,SC State Treasurer,"Curtis M. Loftis, Jr.",['(803) 734-2101'],['treasurer@sto.sc.gov'],
29902,Governor of South Carolina,Henry McMaster,['(803) 734-2100'],,
29902,Lieutenant Governor of South Carolina,Pamela Evette,['(803) 734-2100'],,
29902,SC Attorney General,Alan Wilson,['(803) 734-3970'],,
29902,SC Superintendent of Education,Molly Spearman,['(803) 734-8500'],['info@ed.sc.gov'],
29902,SC Commissioner of Agriculture,Hugh E. Weathers,['(803) 734-2190'],['hweathe@scda.sc.gov'],
29902,SC Secretary of State,Mark Hammond,['(803) 734-2170'],,
29902,SC State Comptroller,Richard Eckstrom,['(803) 734-2121'],['cgoffice@cg.sc.gov'],
29902,SC State Treasurer,"Curtis M. Loftis, Jr.",['(803) 734-2101'],['treasurer@sto.sc.gov'],
