zipcode,office,official,phones,emails,website
57103,Governor of South Dakota,Kristi Noem,['(605) 773-3212'],,
57103,Lieutenant Governor of South Dakota,Larry Rhoden,['(605) 773-3212'],,
57103,SD State Auditor,Rich Sattgast,['(605) 773-3341'],['stateauditor@state.sd.us'],
57103,SD School and Public Lands Commissioner,Ryan Brunner,['(605) 773-3303'],,
57103,SD State Treasurer,Josh Haeder,['(605) 773-3378'],,
57103,SD Attorney General,Jason R. Ravnsborg,['(605) 773-3215'],,
57103,SD Public Utilities Commissioner,Chris Nelson,['(605) 773-3201'],['chris.nelson@state.sd.us'],
57103,SD Secretary of State,Gary Hanson,['(605) 773-3201'],['gary.hanson@state.sd.us'],
57103,Sioux Falls Mayor,Kristie Fiegen,['(605) 773-3201'],['kristie.fiegen@state.sd.us'],
57103,Sioux Falls City Council Member,Steve Barnett,['(605) 773-3537'],,
57401,Governor of South Dakota,Kristi Noem,['(605) 773-3212'],,
57401,Lieutenant Governor of South Dakota,Larry Rhoden,['(605) 773-3212'],,
57401,SD State Auditor,Rich Sattgast,['(605) 773-3341'],['stateauditor@state.sd.us'],
57401,SD School and Public Lands Commissioner,Ryan Brunner,['(605) 773-3303'],,
57401,SD State Treasurer,Josh Haeder,['(605) 773-3378'],,
57401,SD Attorney General,Jason R. Ravnsborg,['(605) 773-3215'],,
57401,SD Public Utilities Commissioner,Chris Nelson,['(605) 773-3201'],['chris.nelson@state.sd.us'],
57401,SD Secretary of State,Gary Hanson,['(605) 773-3201'],['gary.hanson@state.sd.us'],
