zipcode,office,official,phones,emails,website
38018,Governor of Tennessee,Bill Lee,['(615) 741-2001'],,
38109,Governor of Tennessee,Bill Lee,['(615) 741-2001'],,
37013,Governor of Tennessee,Bill Lee,['(615) 741-2001'],,
38127,Governor of Tennessee,Bill Lee,['(615) 741-2001'],,
38116,Governor of Tennessee,Bill Lee,['(615) 741-2001'],,
38116,Memphis Mayor,Jim Strickland,['(901) 636-6000'],['mayor@memphistn.gov'],
38116,Memphis City Council Member,Jeff Warren,['(901) 636-6786'],['Jeff.Warren@memphistn.gov'],
38401,Governor of Tennessee,Bill Lee,['(615) 741-2001'],,
38134,Governor of Tennessee,Bill Lee,['(615) 741-2001'],,
38305,Governor of Tennessee,Bill Lee,['(615) 741-2001'],,
37129,Governor of Tennessee,Bill Lee,['(615) 741-2001'],,
37064,Governor of Tennessee,Bill Lee,['(615) 741-2001'],,
37115,Governor of Tennessee,Bill Lee,['(615) 741-2001'],,
37167,Governor of Tennessee,Bill Lee,['(615) 741-2001'],,
37209,Governor of Tennessee,Bill Lee,['(615) 741-2001'],,
37221,Governor of Tennessee,Bill Lee,['(615) 741-2001'],,
38501,Governor of Tennessee,Bill Lee,['(615) 741-2001'],,
37122,Governor of Tennessee,Bill Lee,['(615) 741-2001'],,
37040,Governor of Tennessee,Bill Lee,['(615) 741-2001'],,
37814,Governor of Tennessee,Bill Lee,['(615) 741-2001'],,
37830,Governor of Tennessee,Bill Lee,['(615) 741-2001'],,
37803,Governor of Tennessee,Bill Lee,['(615) 741-2001'],,
