zipcode,office,official,phones,emails,website
78572,Governor of Texas,Greg Abbott,['(512) 463-2000'],,
78572,Lieutenant Governor of Texas,Dan Patrick,['(512) 463-0001'],['LTGConstituent.Affairs@ltgov.texas.gov'],
78572,TX Comptroller of Public Accounts,Glenn Hegar,['(512) 463-4444'],,
78572,TX Commissioner of General Land Office,George P. Bush,['(800) 998-4456'],,
78572,TX Supreme Court Associate Justice,Eva Guzman,['(512) 463-1312'],,
78572,TX Railroad Commissioner,Debra Lehrmann,['(512) 463-1312'],,
78572,TX Attorney General,Jeffrey S. Boyd,['(512) 463-1312'],,
78572,TX Commissioner of Agriculture,Jane Bland,['(512) 463-1312'],,
78572,TX Supreme Court Chief Justice,Brett Busby,['(512) 463-1312'],,
79936,Governor of Texas,Greg Abbott,['(512) 463-2000'],,
79936,Lieutenant Governor of Texas,Dan Patrick,['(512) 463-0001'],['LTGConstituent.Affairs@ltgov.texas.gov'],
79936,TX Comptroller of Public Accounts,Glenn Hegar,['(512) 463-4444'],,
79936,TX Commissioner of General Land Office,George P. Bush,['(800) 998-4456'],,
79936,TX Supreme Court Associate Justice,Eva Guzman,['(512) 463-1312'],,
79936,TX Railroad Commissioner,Debra Lehrmann,['(512) 463-1312'],,
79936,TX Attorney General,Jeffrey S. Boyd,['(512) 463-1312'],,
79936,TX Commissioner of Agriculture,Jane Bland,['(512) 463-1312'],,
79936,TX Supreme Court Chief Justice,Brett Busby,['(512) 463-1312'],,
78539,Governor of Texas,Greg Abbott,['(512) 463-2000'],,
78539,Lieutenant Governor of Texas,Dan Patrick,['(512) 463-0001'],['LTGConstituent.Affairs@ltgov.texas.gov'],
78539,TX Comptroller of Public Accounts,Glenn Hegar,['(512) 463-4444'],,
78539,TX Commissioner of General Land Office,George P. Bush,['(800) 998-4456'],,
78539,TX Supreme Court Associate Justice,Eva Guzman,['(512) 463-1312'],,
78539,TX Railroad Commissioner,Debra Lehrmann,['(512) 463-1312'],,
78539,TX Attorney General,Jeffrey S. Boyd,['(512) 463-1312'],,
