zipcode,office,official,phones,emails,website
23456,Governor of Virginia,Ralph S. Northam,['(804) 786-2211'],['ltgov@ltgov.virginia.gov'],
23456,Lieutenant Governor of Virginia,Justin E. Fairfax,['(804) 786-2078'],['ltgov@ltgov.virginia.gov'],
23456,VA Attorney General,Mark R. Herring,['(804) 786-2071'],,
23456,Virginia Beach City Commissioner of Revenue,Philip J. Kellam,['(757) 385-4251'],['coradmin@vbgov.com'],
23456,Virginia Beach City Clerk of the Circuit Court,Tina E. Sinnen,['(757) 385-4181'],['tsinnen@courts.state.va.us'],
23456,Virginia Beach City Treasurer,Leigh Henderson,['(757) 385-4445'],,
23456,Virginia Beach Mayor,"Robert M. ""Bob"" Dyer",['(757) 385-4581'],['bdyer@vbgov.com'],
23456,Virginia Beach City Council Member,Aaron R. Rouse,['(757) 319-1398'],['arouse@vbgov.com'],
23456,Virginia Beach City Commonwealth's Attorney,John D. Moss,['(757) 264-9162'],['jdmoss@vbgov.com'],
23456,Virginia Beach City Sheriff,Rosemary Wilson,['(757) 422-0733'],['rcwilson@VBgov.com'],
23233,Governor of Virginia,Ralph S. Northam,['(804) 786-2211'],['ltgov@ltgov.virginia.gov'],
23233,Lieutenant Governor of Virginia,Justin E. Fairfax,['(804) 786-2078'],['ltgov@ltgov.virginia.gov'],
23233,VA Attorney General,Mark R. Herring,['(804) 786-2071'],,
22204,Governor of Virginia,Ralph S. Northam,['(804) 786-2211'],['ltgov@ltgov.virginia.gov'],
22204,Lieutenant Governor of Virginia,Justin E. Fairfax,['(804) 786-2078'],['ltgov@ltgov.virginia.gov'],
22204,VA Attorney General,Mark R. Herring,['(804) 786-2071'],,
22192,Governor of Virginia,Ralph S. Northam,['(804) 786-2211'],['ltgov@ltgov.virginia.gov'],
22192,Lieutenant Governor of Virginia,Justin E. Fairfax,['(804) 786-2078'],['ltgov@ltgov.virginia.gov'],
22192,VA Attorney General,Mark R. Herring,['(804) 786-2071'],,
23320,Governor of Virginia,Ralph S. Northam,['(804) 786-2211'],['ltgov@ltgov.virginia.gov'],
23320,Lieutenant Governor of Virginia,Justin E. Fairfax,['(804) 786-2078'],['ltgov@ltgov.virginia.gov'],
23320,VA Attorney General,Mark R. Herring,['(804) 786-2071'],,
23320,Charlottesville City Commissioner of Revenue,Frank King,['(757) 382-6455'],['comrev@cityofchesapeake.net'],
23320,Chesapeake City Sheriff,Jim O'Sullivan,['(757) 382-6159'],,
23320,Chesapeake City Council Member,"S.Z. ""Debbie"" Ritter",['(757) 482-4242'],['dritter@cityofchesapeake.net'],
23320,Chesapeake Mayor,Dr. Ella Ward,['(757) 488-6843'],['eward@cityofchesapeake.net'],
23320,Chesapeake City Commonwealth's Attorney,Susan R. Vitale,['(757) 382-6153'],['svitale@cityofchesapeake.net'],
23320,Chesapeake City Clerk of the Circuit Court,"R. Stephen Best, Sr.",['(757) 382-6153'],['sbest1@cityofchesapeake.net'],
23320,Chesapeake City Treasurer,Dwight M. Parker,['(757) 484-4452'],['dparker@cityofchesapeake.net'],
23451,Governor of Virginia,Ralph S. Northam,['(804) 786-2211'],['ltgov@ltgov.virginia.gov'],
23451,Lieutenant Governor of Virginia,Justin E. Fairfax,['(804) 786-2078'],['ltgov@ltgov.virginia.gov'],
23451,VA Attorney General,Mark R. Herring,['(804) 786-2071'],,
23451,Virginia Beach City Commissioner of Revenue,Philip J. Kellam,['(757) 385-4251'],['coradmin@vbgov.com'],
23451,Virginia Beach City Clerk of the Circuit Court,Tina E. Sinnen,['(757) 385-4181'],['tsinnen@courts.state.va.us'],
23451,Virginia Beach City Treasurer,Leigh Henderson,['(757) 385-4445'],,
23451,Virginia Beach Mayor,"Robert M. ""Bob"" Dyer",['(757) 385-4581'],['bdyer@vbgov.com'],
23451,Virginia Beach City Council Member,Aaron R. Rouse,['(757) 319-1398'],['arouse@vbgov.com'],
23451,Virginia Beach City Commonwealth's Attorney,John D. Moss,['(757) 264-9162'],['jdmoss@vbgov.com'],
23451,Virginia Beach City Sheriff,Rosemary Wilson,['(757) 422-0733'],['rcwilson@VBgov.com'],
22407,Governor of Virginia,Ralph S. Northam,['(804) 786-2211'],['ltgov@ltgov.virginia.gov'],
22407,Lieutenant Governor of Virginia,Justin E. Fairfax,['(804) 786-2078'],['ltgov@ltgov.virginia.gov'],
22407,VA Attorney General,Mark R. Herring,['(804) 786-2071'],,
23803,Governor of Virginia,Ralph S. Northam,['(804) 786-2211'],['ltgov@ltgov.virginia.gov'],
23803,Lieutenant Governor of Virginia,Justin E. Fairfax,['(804) 786-2078'],['ltgov@ltgov.virginia.gov'],
23803,VA Attorney General,Mark R. Herring,['(804) 786-2071'],,
23602,Governor of Virginia,Ralph S. Northam,['(804) 786-2211'],['ltgov@ltgov.virginia.gov'],
23602,Lieutenant Governor of Virginia,Justin E. Fairfax,['(804) 786-2078'],['ltgov@ltgov.virginia.gov'],
23602,VA Attorney General,Mark R. Herring,['(804) 786-2071'],,
23602,Newport News City Treasurer,Marty Eubank,['(757) 926-8740'],['treasure@nnva.gov'],
23602,Newport News City Commissioner of Revenue,Tiffany Boyle,['(757) 926-8752'],['commish@nnva.gov'],
23602,Newport News City Clerk of the Circuit Court,Angela F. Reason,['(757) 926-8561'],,
23602,Newport News City Commonwealth's Attorney,Howard E. Gwynn,['(757) 926-7443'],['nn-cwatty@nnva.gov'],
23602,Newport News City Sheriff,Gabriel Morgan,['(757) 926-8535'],['sheriff@nnva.gov'],
23602,Newport News Mayor,McKinley L. Price,['(757) 926-8403'],['mayorsoffice@nnva.gov'],
20170,Governor of Virginia,Ralph S. Northam,['(804) 786-2211'],['ltgov@ltgov.virginia.gov'],
20170,Lieutenant Governor of Virginia,Justin E. Fairfax,['(804) 786-2078'],['ltgov@ltgov.virginia.gov'],
20170,VA Attorney General,Mark R. Herring,['(804) 786-2071'],,
23234,Governor of Virginia,Ralph S. Northam,['(804) 786-2211'],['ltgov@ltgov.virginia.gov'],
23234,Lieutenant Governor of Virginia,Justin E. Fairfax,['(804) 786-2078'],['ltgov@ltgov.virginia.gov'],
23234,VA Attorney General,Mark R. Herring,['(804) 786-2071'],,
23225,Governor of Virginia,Ralph S. Northam,['(804) 786-2211'],['ltgov@ltgov.virginia.gov'],
23225,Lieutenant Governor of Virginia,Justin E. Fairfax,['(804) 786-2078'],['ltgov@ltgov.virginia.gov'],
23225,VA Attorney General,Mark R. Herring,['(804) 786-2071'],,
24112,Governor of Virginia,Ralph S. Northam,['(804) 786-2211'],['ltgov@ltgov.virginia.gov'],
24112,Lieutenant Governor of Virginia,Justin E. Fairfax,['(804) 786-2078'],['ltgov@ltgov.virginia.gov'],
24112,VA Attorney General,Mark R. Herring,['(804) 786-2071'],,
22033,Governor of Virginia,Ralph S. Northam,['(804) 786-2211'],['ltgov@ltgov.virginia.gov'],
22033,Lieutenant Governor of Virginia,Justin E. Fairfax,['(804) 786-2078'],['ltgov@ltgov.virginia.gov'],
22033,VA Attorney General,Mark R. Herring,['(804) 786-2071'],,
24502,Governor of Virginia,Ralph S. Northam,['(804) 786-2211'],['ltgov@ltgov.virginia.gov'],
24502,Lieutenant Governor of Virginia,Justin E. Fairfax,['(804) 786-2078'],['ltgov@ltgov.virginia.gov'],
24502,VA Attorney General,Mark R. Herring,['(804) 786-2071'],,
23229,Governor of Virginia,Ralph S. Northam,['(804) 786-2211'],['ltgov@ltgov.virginia.gov'],
23229,Lieutenant Governor of Virginia,Justin E. Fairfax,['(804) 786-2078'],['ltgov@ltgov.virginia.gov'],
23229,VA Attorney General,Mark R. Herring,['(804) 786-2071'],,
24541,Governor of Virginia,Ralph S. Northam,['(804) 786-2211'],['ltgov@ltgov.virginia.gov'],
24541,Lieutenant Governor of Virginia,Justin E. Fairfax,['(804) 786-2078'],['ltgov@ltgov.virginia.gov'],
24541,VA Attorney General,Mark R. Herring,['(804) 786-2071'],,
23113,Governor of Virginia,Ralph S. Northam,['(804) 786-2211'],['ltgov@ltgov.virginia.gov'],
