zipcode,office,official,phones,emails,website
98208,Governor of Washington,Jay Inslee,['(360) 902-4111'],['Governor.JayInslee@governor.wa.gov'],
98208,Lieutenant Governor of Washington,Cyrus Habib,['(360) 786-7700'],['ltgov@ltgov.wa.gov'],
98208,WA State Superintendent of Public Instruction,Chris Reykdal,['(360) 725-6000'],,
98208,WA Supreme Court Justice,Charles W. Johnson,['(360) 357-2020'],['supreme@courts.wa.gov'],
98208,WA Secretary of State,Steven C. González,['(360) 357-2030'],['supreme@courts.wa.gov'],
98208,WA State Auditor,Sheryl Gordon McCloud,['(360) 357-2045'],['supreme@courts.wa.gov'],
98208,WA Commissioner of Public Lands,Susan Owens,['(360) 357-2041'],['supreme@courts.wa.gov'],
98208,WA Attorney General,G. Helen Whitener,['(360) 357-2026'],['supreme@courts.wa.gov'],
98208,WA Insurance Commissioner,Raquel Montoya-Lewis,['(360) 357-2053'],['supreme@courts.wa.gov'],
98208,WA State Treasurer,Mary I. Yu,['(360) 357-2033'],['mary.yu@courts.wa.gov'],
98390,Governor of Washington,Jay Inslee,['(360) 902-4111'],['Governor.JayInslee@governor.wa.gov'],
98390,Lieutenant Governor of Washington,Cyrus Habib,['(360) 786-7700'],['ltgov@ltgov.wa.gov'],
98390,WA State Superintendent of Public Instruction,Chris Reykdal,['(360) 725-6000'],,
98390,WA Supreme Court Justice,Charles W. Johnson,['(360) 357-2020'],['supreme@courts.wa.gov'],
98390,WA Secretary of State,Steven C. González,['(360) 357-2030'],['supreme@courts.wa.gov'],
98390,WA State Auditor,Sheryl Gordon McCloud,['(360) 357-2045'],['supreme@courts.wa.gov'],
98390,WA Commissioner of Public Lands,Susan Owens,['(360) 357-2041'],['supreme@courts.wa.gov'],
98390,WA Attorney General,G. Helen Whitener,['(360) 357-2026'],['supreme@courts.wa.gov'],
98390,WA Insurance Commissioner,Raquel Montoya-Lewis,['(360) 357-2053'],['supreme@courts.wa.gov'],
98390,WA State Treasurer,Mary I. Yu,['(360) 357-2033'],['mary.yu@courts.wa.gov'],
99301,Governor of Washington,Jay Inslee,['(360) 902-4111'],['Governor.JayInslee@governor.wa.gov'],
99301,Lieutenant Governor of Washington,Cyrus Habib,['(360) 786-7700'],['ltgov@ltgov.wa.gov'],
99301,WA State Superintendent of Public Instruction,Chris Reykdal,['(360) 725-6000'],,
99301,WA Supreme Court Justice,Charles W. Johnson,['(360) 357-2020'],['supreme@courts.wa.gov'],
99301,WA Secretary of State,Steven C. González,['(360) 357-2030'],['supreme@courts.wa.gov'],
99301,WA State Auditor,Sheryl Gordon McCloud,['(360) 357-2045'],['supreme@courts.wa.gov'],
99301,WA Commissioner of Public Lands,Susan Owens,['(360) 357-2041'],['supreme@courts.wa.gov'],
99301,WA Attorney General,G. Helen Whitener,['(360) 357-2026'],['supreme@courts.wa.gov'],
99301,WA Insurance Commissioner,Raquel Montoya-Lewis,['(360) 357-2053'],['supreme@courts.wa.gov'],
99301,WA State Treasurer,Mary I. Yu,['(360) 357-2033'],['mary.yu@courts.wa.gov'],
99207,Governor of Washington,Jay Inslee,['(360) 902-4111'],['Governor.JayInslee@governor.wa.gov'],
99207,Lieutenant Governor of Washington,Cyrus Habib,['(360) 786-7700'],['ltgov@ltgov.wa.gov'],
99207,WA State Superintendent of Public Instruction,Chris Reykdal,['(360) 725-6000'],,
99207,WA Supreme Court Justice,Charles W. Johnson,['(360) 357-2020'],['supreme@courts.wa.gov'],
99207,WA Secretary of State,Steven C. González,['(360) 357-2030'],['supreme@courts.wa.gov'],
99207,WA State Auditor,Sheryl Gordon McCloud,['(360) 357-2045'],['supreme@courts.wa.gov'],
99207,WA Commissioner of Public Lands,Susan Owens,['(360) 357-2041'],['supreme@courts.wa.gov'],
99207,WA Attorney General,G. Helen Whitener,['(360) 357-2026'],['supreme@courts.wa.gov'],
99207,WA Insurance Commissioner,Raquel Montoya-Lewis,['(360) 357-2053'],['supreme@courts.wa.gov'],
99207,WA State Treasurer,Mary I. Yu,['(360) 357-2033'],['mary.yu@courts.wa.gov'],
99207,Spokane City Council President,Debra L. Stephens,['(360) 357-2050'],['supreme@courts.wa.gov'],
99207,Spokane Mayor,Barbara A. Madsen,['(360) 357-2037'],['supreme@courts.wa.gov'],
98012,Governor of Washington,Jay Inslee,['(360) 902-4111'],['Governor.JayInslee@governor.wa.gov'],
98012,Lieutenant Governor of Washington,Cyrus Habib,['(360) 786-7700'],['ltgov@ltgov.wa.gov'],
98012,WA State Superintendent of Public Instruction,Chris Reykdal,['(360) 725-6000'],,
98012,WA Supreme Court Justice,Charles W. Johnson,['(360) 357-2020'],['supreme@courts.wa.gov'],
98012,WA Secretary of State,Steven C. González,['(360) 357-2030'],['supreme@courts.wa.gov'],
98012,WA State Auditor,Sheryl Gordon McCloud,['(360) 357-2045'],['supreme@courts.wa.gov'],
98012,WA Commissioner of Public Lands,Susan Owens,['(360) 357-2041'],['supreme@courts.wa.gov'],
98012,WA Attorney General,G. Helen Whitener,['(360) 357-2026'],['supreme@courts.wa.gov'],
98012,WA Insurance Commissioner,Raquel Montoya-Lewis,['(360) 357-2053'],['supreme@courts.wa.gov'],
98012,WA State Treasurer,Mary I. Yu,['(360) 357-2033'],['mary.yu@courts.wa.gov'],
99362,Governor of Washington,Jay Inslee,['(360) 902-4111'],['Governor.JayInslee@governor.wa.gov'],
99362,Lieutenant Governor of Washington,Cyrus Habib,['(360) 786-7700'],['ltgov@ltgov.wa.gov'],
99362,WA State Superintendent of Public Instruction,Chris Reykdal,['(360) 725-6000'],,
99362,WA Supreme Court Justice,Charles W. Johnson,['(360) 357-2020'],['supreme@courts.wa.gov'],
99362,WA Secretary of State,Steven C. González,['(360) 357-2030'],['supreme@courts.wa.gov'],
99362,WA State Auditor,Sheryl Gordon McCloud,['(360) 357-2045'],['supreme@courts.wa.gov'],
99362,WA Commissioner of Public Lands,Susan Owens,['(360) 357-2041'],['supreme@courts.wa.gov'],
99362,WA Attorney General,G. Helen Whitener,['(360) 357-2026'],['supreme@courts.wa.gov'],
99362,WA Insurance Commissioner,Raquel Montoya-Lewis,['(360) 357-2053'],['supreme@courts.wa.gov'],
99362,WA State Treasurer,Mary I. Yu,['(360) 357-2033'],['mary.yu@courts.wa.gov'],
98006,Governor of Washington,Jay Inslee,['(360) 902-4111'],['Governor.JayInslee@governor.wa.gov'],
