zipcode,office,official,phones,emails,website
53545,Governor of Wisconsin,Tony Evers,['(608) 266-1212'],['eversinfo@wisconsin.gov'],
53545,Lieutenant Governor of Wisconsin,Mandela Barnes,['(608) 266-3516'],,
53545,WI Superintendent of Public Instruction,Carolyn Stanford Taylor,['(800) 441-4563'],['dpistatesuperintendent@dpi.wi.gov'],
53545,WI Attorney General,Josh Kaul,['(608) 266-1221'],,
53545,WI Supreme Court Justice,Brian Hagedorn,['(608) 266-1885'],,
53545,WI Secretary of State,Annette Kingsland Ziegler,['(608) 266-1881'],,
53545,WI State Treasurer,Daniel Kelly,['(608) 266-1882'],,
54220,Governor of Wisconsin,Tony Evers,['(608) 266-1212'],['eversinfo@wisconsin.gov'],
54220,Lieutenant Governor of Wisconsin,Mandela Barnes,['(608) 266-3516'],,
54220,WI Superintendent of Public Instruction,Carolyn Stanford Taylor,['(800) 441-4563'],['dpistatesuperintendent@dpi.wi.gov'],
54220,WI Attorney General,Josh Kaul,['(608) 266-1221'],,
54220,WI Supreme Court Justice,Brian Hagedorn,['(608) 266-1885'],,
54220,WI Secretary of State,Annette Kingsland Ziegler,['(608) 266-1881'],,
54220,WI State Treasurer,Daniel Kelly,['(608) 266-1882'],,
53221,Governor of Wisconsin,Tony Evers,['(608) 266-1212'],['eversinfo@wisconsin.gov'],
53221,Lieutenant Governor of Wisconsin,Mandela Barnes,['(608) 266-3516'],,
53221,WI Superintendent of Public Instruction,Carolyn Stanford Taylor,['(800) 441-4563'],['dpistatesuperintendent@dpi.wi.gov'],
53221,WI Attorney General,Josh Kaul,['(608) 266-1221'],,
53221,WI Supreme Court Justice,Brian Hagedorn,['(608) 266-1885'],,
53221,WI Secretary of State,Annette Kingsland Ziegler,['(608) 266-1881'],,
53221,WI State Treasurer,Daniel Kelly,['(608) 266-1882'],,
53211,Governor of Wisconsin,Tony Evers,['(608) 266-1212'],['eversinfo@wisconsin.gov'],
53211,Lieutenant Governor of Wisconsin,Mandela Barnes,['(608) 266-3516'],,
53211,WI Superintendent of Public Instruction,Carolyn Stanford Taylor,['(800) 441-4563'],['dpistatesuperintendent@dpi.wi.gov'],
53211,WI Attorney General,Josh Kaul,['(608) 266-1221'],,
53211,WI Supreme Court Justice,Brian Hagedorn,['(608) 266-1885'],,
53211,WI Secretary of State,Annette Kingsland Ziegler,['(608) 266-1881'],,
53211,WI State Treasurer,Daniel Kelly,['(608) 266-1882'],,
53208,Governor of Wisconsin,Tony Evers,['(608) 266-1212'],['eversinfo@wisconsin.gov'],
53208,Lieutenant Governor of Wisconsin,Mandela Barnes,['(608) 266-3516'],,
53208,WI Superintendent of Public Instruction,Carolyn Stanford Taylor,['(800) 441-4563'],['dpistatesuperintendent@dpi.wi.gov'],
53208,WI Attorney General,Josh Kaul,['(608) 266-1221'],,
53208,WI Supreme Court Justice,Brian Hagedorn,['(608) 266-1885'],,
53208,WI Secretary of State,Annette Kingsland Ziegler,['(608) 266-1881'],,
53208,WI State Treasurer,Daniel Kelly,['(608) 266-1882'],,
53208,Milwaukee City Comptroller,Patience D. Roggensack,['(608) 266-1888'],,
53208,Milwaukee Mayor,Rebecca Frank Dallet,['(608) 266-1884'],,
53208,Milwaukee City Treasurer,Rebecca Grassl Bradley,['(608) 266-1883'],,
53208,Milwaukee City Attorney,Ann Walsh Bradley,['(608) 266-1886'],,
53206,Governor of Wisconsin,Tony Evers,['(608) 266-1212'],['eversinfo@wisconsin.gov'],
53206,Lieutenant Governor of Wisconsin,Mandela Barnes,['(608) 266-3516'],,
53206,WI Superintendent of Public Instruction,Carolyn Stanford Taylor,['(800) 441-4563'],['dpistatesuperintendent@dpi.wi.gov'],
53206,WI Attorney General,Josh Kaul,['(608) 266-1221'],,
53206,WI Supreme Court Justice,Brian Hagedorn,['(608) 266-1885'],,
53206,WI Secretary of State,Annette Kingsland Ziegler,['(608) 266-1881'],,
53206,WI State Treasurer,Daniel Kelly,['(608) 266-1882'],,
53206,Milwaukee City Comptroller,Patience D. Roggensack,['(608) 266-1888'],,
53206,Milwaukee Mayor,Rebecca Frank Dallet,['(608) 266-1884'],,
53206,Milwaukee City Treasurer,Rebecca Grassl Bradley,['(608) 266-1883'],,
53206,Milwaukee City Attorney,Ann Walsh Bradley,['(608) 266-1886'],,
53051,Governor of Wisconsin,Tony Evers,['(608) 266-1212'],['eversinfo@wisconsin.gov'],
53051,Lieutenant Governor of Wisconsin,Mandela Barnes,['(608) 266-3516'],,
53051,WI Superintendent of Public Instruction,Carolyn Stanford Taylor,['(800) 441-4563'],['dpistatesuperintendent@dpi.wi.gov'],
53051,WI Attorney General,Josh Kaul,['(608) 266-1221'],,
53051,WI Supreme Court Justice,Brian Hagedorn,['(608) 266-1885'],,
53051,WI Secretary of State,Annette Kingsland Ziegler,['(608) 266-1881'],,
53051,WI State Treasurer,Daniel Kelly,['(608) 266-1882'],,
53151,Governor of Wisconsin,Tony Evers,['(608) 266-1212'],['eversinfo@wisconsin.gov'],
53151,Lieutenant Governor of Wisconsin,Mandela Barnes,['(608) 266-3516'],,
53151,WI Superintendent of Public Instruction,Carolyn Stanford Taylor,['(800) 441-4563'],['dpistatesuperintendent@dpi.wi.gov'],
53151,WI Attorney General,Josh Kaul,['(608) 266-1221'],,
53151,WI Supreme Court Justice,Brian Hagedorn,['(608) 266-1885'],,
53151,WI Secretary of State,Annette Kingsland Ziegler,['(608) 266-1881'],,
53151,WI State Treasurer,Daniel Kelly,['(608) 266-1882'],,
54115,Governor of Wisconsin,Tony Evers,['(608) 266-1212'],['eversinfo@wisconsin.gov'],
54115,Lieutenant Governor of Wisconsin,Mandela Barnes,['(608) 266-3516'],,
54115,WI Superintendent of Public Instruction,Carolyn Stanford Taylor,['(800) 441-4563'],['dpistatesuperintendent@dpi.wi.gov'],
54115,WI Attorney General,Josh Kaul,['(608) 266-1221'],,
54115,WI Supreme Court Justice,Brian Hagedorn,['(608) 266-1885'],,
54115,WI Secretary of State,Annette Kingsland Ziegler,['(608) 266-1881'],,
54115,WI State Treasurer,Daniel Kelly,['(608) 266-1882'],,
53212,Governor of Wisconsin,Tony Evers,['(608) 266-1212'],['eversinfo@wisconsin.gov'],
53212,Lieutenant Governor of Wisconsin,Mandela Barnes,['(608) 266-3516'],,
53212,WI Superintendent of Public Instruction,Carolyn Stanford Taylor,['(800) 441-4563'],['dpistatesuperintendent@dpi.wi.gov'],
53212,WI Attorney General,Josh Kaul,['(608) 266-1221'],,
53212,WI Supreme Court Justice,Brian Hagedorn,['(608) 266-1885'],,
53212,WI Secretary of State,Annette Kingsland Ziegler,['(608) 266-1881'],,
53212,WI State Treasurer,Daniel Kelly,['(608) 266-1882'],,
54880,Governor of Wisconsin,Tony Evers,['(608) 266-1212'],['eversinfo@wisconsin.gov'],
54880,Lieutenant Governor of Wisconsin,Mandela Barnes,['(608) 266-3516'],,
54880,WI Superintendent of Public Instruction,Carolyn Stanford Taylor,['(800) 441-4563'],['dpistatesuperintendent@dpi.wi.gov'],
54880,WI Attorney General,Josh Kaul,['(608) 266-1221'],,
54880,WI Supreme Court Justice,Brian Hagedorn,['(608) 266-1885'],,
54880,WI Secretary of State,Annette Kingsland Ziegler,['(608) 266-1881'],,
